Name_ALMACAL,RA_ALMACAL,Dec_ALMACAL,Redshift,Spectrum,Provenance,Confidence,Name_IAU,RA_Optical,Dec_Optical,W1_mag,W2_mag,W3_mag,Separation
J0315-1656,48.86532674,-16.94158718,0.6251,TRUE,This work,4,PKS 0313-171,48.86533,-16.94159,14.558,13.603,10.649,0
J0457+2624,74.48085834,26.41139765,,FALSE,,0,WISEA J045755.39+262,74.48083,26.41139,17.023,16.113,,0.12
J0748-1639,117.0128492,-16.66395944,,FALSE,,0,WISEA J074803.09-163,117.01285,-16.66396,16.522,15.029,11.065,0.06
J0502+0609,75.5643581,6.1520817,1.106,TRUE,1997MNRAS.284...85D,4,PKS 0459+060,75.56436,6.15208,14.421,13.28,10.292,0.06
J0113+0222,18.42977064,2.371476761,0.0463,TRUE,DESI,4,CRATES J0113+0222 NE,18.42975,2.37147,,,,0
J1728+1215,262.0293801,12.2609682,0.586,TRUE,DESI,4,PKS 1725+123,262.02938,12.26097,13.63,12.493,9.456,0
J0115-2804,18.84951515,-28.08200668,2.555,TRUE,2010MNRAS.402.2441D,4,PKS 0113-283,18.84951,-28.08201,,,,0
J1157+1638,179.3951511,16.6499028,1.06061,TRUE,SDSS,4,[HB89] 1155+169,179.39515,16.6499,13.813,12.454,9.563,0
J0116-1136,19.05217512,-11.60428739,0.671,FALSE,2012ApJ...748...49S,4,CRATES J0116-1136 NE,19.05213,-11.60414,,,,0
J1018-3123,154.6198062,-31.39829159,0.794,TRUE,1997MNRAS.284...85D,4,PKS 1016-311,154.61981,-31.39829,13.713,12.536,9.408,0.06
J1336-3357,204.1626355,-33.96585363,0.0125,,2000MNRAS.313..469S,6,IC 4296,204.16262,-33.96583,8.969,8.993,8.315,0.12
J0120-2701,20.13193077,-27.02351459,,TRUE,2003A&A...399..469H,7,CRATES J0120-2701 NE,20.13188,-27.02319,,,,0
J0130+0842,22.61514349,8.712825475,0.725703,TRUE,SDSS,4,WISEA J013027.63+084,22.61514,8.71283,14.943,14.033,10.943,0
J0124-5113,21.23913113,-51.22115763,1.104,FALSE,2008ApJS..175...97H,3,PKS 0122-514,21.23913,-51.22116,,,,0
J0125-0005,21.37018269,-0.098869953,1.07454,TRUE,SDSS,4,[HJB2016] J012528.7-,21.36973,-0.09845,,,,0
J1131-5818,172.9303666,-58.31484544,,FALSE,,0,WISEA J113143.29-581,172.93036,-58.31485,13.347,12.036,9.061,0.06
J0126-0120,21.5025925,-1.345142139,0.0184,TRUE,DESI,4,GALEXASC J012600.50-,21.50209,-1.34479,,,,0.12
J0317-2803,49.39041379,-28.05517019,1.166,TRUE,2001MNRAS.322L..29C,4,PKS 0315-282,49.39042,-28.05511,16.136,14.946,11.881,0.24
J0126+2559,21.67830267,25.9836945,2.365,TRUE,SDSS,4,[HB89] 0123+257 ABS1,21.67806,25.98378,,,,0
J2214+0711,333.5369233,7.1951092,0.4412,TRUE,2017AJ....153..157T,4,WISEA J221408.86+071,333.53692,7.19508,13.652,12.586,9.373,0
J0502+1338,75.63841465,13.63637746,,FALSE,,0,PKS 0459+135,75.63841,13.63638,13.019,12.037,9.407,0
J0748+2400,117.1504553,24.00669723,0.409723,TRUE,SDSS,4,PKS 0745+241,117.15045,24.0067,12.801,11.722,8.719,0.06
J1159-0940,179.8029656,-9.681124589,,FALSE,,0,PKS 1156-094,179.80297,-9.68112,14.98,13.935,11.282,0
J0141-0928,25.35763396,-9.478798367,,TRUE,2003A&A...399..469H,7,[SUF99] 0138-097D,25.35687,-9.47844,,,,0
J1019-2708,154.7853458,-27.14879615,,FALSE,,0,WISEA J101908.48-270,154.78535,-27.1488,14.303,13.428,10.548,0.06
J1534-3526,233.7278649,-35.43986042,1.515,FALSE,2008ApJS..175...97H,3,WISEA J153454.68-352,233.72788,-35.43983,14.958,13.697,10.771,0.06
J1337-1257,204.4157616,-12.95685928,0.539,TRUE,1993A&AS...97..483S,4,WISEA J133739.78-125,204.41575,-12.95686,11.996,10.788,7.977,0
J0149+1857,27.45716235,18.95572542,0.580785,TRUE,SDSS,4,PKS 0147+187,27.45716,18.95573,,,,0.06
J1730+0024,262.6458311,0.410747531,1.335,TRUE,2002A&A...386...97J,4,PKS 1728+004,262.64583,0.41075,12.734,11.627,8.805,0
J0750+1231,117.7168572,12.51800784,0.889,TRUE,2012RMxAA..48....9T,4,[HB89] 0748+126,117.71686,12.51801,12.312,11.232,8.389,0.06
J0502+3436,75.62477518,34.6096017,,FALSE,,0,WISEA J050229.95+343,75.62462,34.60969,15.03,13.998,10.893,0.6
J0208-0047,32.1097746,-0.795637106,,TRUE,2004ApJS..155..257R,7,[HBW2011] J020826.18,32.1091,-0.79575,,,,0
J1159-2142,179.8393023,-21.71247577,0.617,FALSE,2008ApJS..175...97H,3,WISEA J115921.42-214,179.83929,-21.71247,13.289,12.243,9.497,0.06
J1019-6047,154.972927,-60.79676085,,FALSE,,0,WISEA J101953.17-604,154.97154,-60.79697,13.418,13.18,11.177,0.48
J0212-1746,33.09434829,-17.77065076,1.8,TRUE,NTT,4,GALEXASC J021222.63-,33.09431,-17.7705,,,,0.06
J1337-6509,204.4685222,-65.15691606,,FALSE,,0,PKS 1334-649,204.46852,-65.15692,14.941,14.198,10.672,0.06
J0213-0719,33.31946075,-7.325686769,1.036,TRUE,SDSS,4,LQAC 033-007 003,33.31946,-7.32569,,,,0.06
J1955+1358,298.7982141,13.97117811,,FALSE,,0,WISEA J195511.57+135,298.79821,13.97118,12.695,11.527,8.149,0.06
J0214-6149,33.567518,-61.82601646,,TRUE,This work,7,AT 2019pqr,33.56754,-61.82602,,,,0.06
J1534+0131,233.718557,1.517835,1.42758,TRUE,SDSS,4,[HB89] 1532+016,233.71856,1.51784,14.594,13.332,10.326,0
J0312+0133,48.18168018,1.554879058,0.664,TRUE,2012RMxAA..48....9T,4,LBQS 0310+0122,48.18168,1.55488,14.014,12.98,9.642,0
J0215-0222,33.92507205,-2.382431217,1.177,TRUE,SDSS,4,CRATES J0215-0222 NE,33.92504,-2.38319,,,,0
J0132-1654,23.18119775,-16.91347828,1.02,FALSE,1983MNRAS.205..793W,2,[HB89] 0130-171,23.1812,-16.91348,12.309,11.158,8.112,0
J0216-1017,34.1619828,-10.28416709,0.992,TRUE,This work,4,GALEXASC J021638.79-,34.16164,-10.28416,,,,0
J0217-0820,34.26109302,-8.347875592,0.607,TRUE,SDSS,4,CRATES J021702.66-08,34.26108,-8.34786,,,,0
J0217+0144,34.45397815,1.747138639,,FALSE,,0,[HB89] 0215+015 ABS0,34.45342,1.74717,,,,0
J1733-1304,263.2612741,-13.08043006,0.902,TRUE,1984PASP...96..539J,3,[HB89] 1730-130,263.26127,-13.08043,11.736,10.682,8.113,0.06
J0224+0659,36.11845083,6.989817111,0.511,TRUE,DESI,4,[VFK2015] J036.11784,36.11784,6.98993,,,,0
J2217+0220,334.4509914,2.336308947,3.59104,TRUE,SDSS,4,PKS 2215+02,334.45099,2.33631,15.792,15.133,11.44,0.06
J0231+1322,37.94122525,13.38186565,2.073,TRUE,2019yCat.5164....0L,4,[HB89] 0229+131 ABS0,37.94048,13.38195,,,,0
J0504-1512,76.11998798,-15.20745796,0.5077,TRUE,This work,4,WISEA J050428.79-151,76.12,-15.20744,14.182,13.417,10.633,0.06
J0238+1636,39.66220878,16.61646517,0.94,TRUE,1989QSO...M...0000H,2,GALEXASC J023838.83+,39.6618,16.6163,,,,0
J1159+2914,179.8826413,29.24550746,0.724745,TRUE,SDSS,4,FBQS J1159+2914,179.88264,29.24551,11.515,10.437,7.517,0
J1024-3234,156.0017662,-32.57112747,1.568,TRUE,2002A&A...386...97J,4,PKS 1021-323,156.00177,-32.57113,14.335,13.186,10.211,0.06
J1339-2401,204.7572766,-24.0205573,0.657,TRUE,2002A&A...386...97J,2,PKS 1336-237,204.75728,-24.02056,12.431,11.422,8.588,0.06
J1956-3225,299.2477303,-32.42944638,1.242,FALSE,1982AJ.....87..763J,3,[HB89] 1953-325,299.24773,-32.42945,14.653,13.427,10.334,0
J1535-4730,233.9676717,-47.50638288,,FALSE,,0,WISEA J153552.26-473,233.96762,-47.50606,14.599,13.492,10.107,1.2
J0133-5200,23.27401058,-52.00109598,0.02,FALSE,1995AJ....110..880J,2,PKS 0131-522,23.27401,-52.0011,14.615,13.473,10.509,0
J0115-3049,18.94377295,-30.82205542,1.413,TRUE,2004MNRAS.349.1397C,4,PKS 0113-310,18.94377,-30.82206,15.498,14.216,11.264,0
J0303-2407,45.86042851,-24.11984097,0.26,TRUE,2011NewA...16..503M,2,PKS 0301-243,45.86037,-24.11986,,,,0.12
J0304+3348,8.210954733,2.794857889,,FALSE,,0,,,,,,,
J0315-1031,48.98697018,-10.527603,1.565,TRUE,2012ApJ...748...49S,4,CRATES J0315-1031 NE,48.98692,-10.52764,,,,0.06
J2217+2421,334.2534216,24.36276608,,TRUE,2013ApJ...764..135S,7,B2 2214+24B,334.25342,24.36277,12.329,11.294,8.478,0.06
J2203+1725,330.862057,17.43006882,1.076,FALSE,1977ApJ...215..427S,3,[HB89] 2201+171,330.86206,17.43007,11.39,10.307,7.406,0.06
J0505+0459,76.34660304,4.995201258,0.954,TRUE,1997MNRAS.284...85D,4,PKS 0502+049,76.3466,4.9952,13.108,11.934,8.347,0.06
J0757+0956,119.277679,9.943014522,0.266,TRUE,2003A&A...412..651C,4,[HB89] 0754+100,119.27768,9.94301,11.792,10.694,8.057,0.06
J0319+4130,49.95066717,41.51169603,0.017559,TRUE,1996ApJS..107..541L,4,CXOGSG J031948.0+413,49.95,41.51167,,,,0.06
J1733-7935,263.4195845,-79.59881017,0.877,TRUE,2011MNRAS.417.2651M,4,PKS 1725-795,263.41958,-79.59881,14.155,12.869,9.953,0
J0321-0526,50.49945997,-5.4367859,0.5785,TRUE,2013AJ....146...10T,4,WISE J032159.88-0526,50.49946,-5.43679,,,,0
J0327-1803,51.93058984,-18.06167444,0.7303,TRUE,2017AJ....153..157T,4,2MASS J03274329-1803,51.9304,-18.06159,,,,0.06
J0329-2357,52.4753148,-23.95243698,0.895,TRUE,1997MNRAS.284...85D,4,PKS 0327-241,52.47531,-23.95244,,,,0
J1339-2620,204.8328781,-26.34180442,1.51,TRUE,1997MNRAS.284...85D,2,PKS 1336-260,204.83288,-26.3418,14.328,13.141,10.328,0
J1957-3845,299.499247,-38.75176554,0.63,FALSE,1975MNRAS.173p..87B,3,[HB89] 1954-388,299.49925,-38.75177,11.944,10.804,8.304,0
J1536-3151,234.227076,-31.85420419,,TRUE,This work,7,PKS 1533-317,234.22708,-31.8542,14.525,13.382,10.385,0.06
J0336-1302,54.14598254,-13.03462781,1.303,TRUE,2002A&A...386...97J,4,PKS 0334-131,54.14598,-13.03463,,,,0
J0134-3843,23.63345891,-38.72593959,2.14,FALSE,1996A&AS..119..265I,2,WISEA J013432.03-384,23.63346,-38.72594,13.948,12.838,10.089,0
J1713-2658,258.380315,-26.98125745,,FALSE,,0,WISEA J171331.28-265,258.38031,-26.98126,12.455,11.085,8.361,0.06
J0336+3218,54.12544838,32.30815063,1.258,TRUE,2016ApJ...818..113,4,[HB89] 0333+321 ABS0,54.12516,32.30815,,,,0.06
J1025+1253,156.4845224,12.89695053,0.663,TRUE,1998AJ....115.1253P,4,WISEA J102556.28+125,156.48452,12.89695,14.538,13.627,11.072,0
J0342-3007,55.66809516,-30.13284751,0.8556,TRUE,This work,4,GALEXASC J034240.35-,55.66814,-30.13228,,,,0.66
J0343-2530,55.83134968,-25.50483507,1.419,TRUE,2002A&A...386...97J,4,CRATES J034319.47-25,55.83113,-25.50522,,,,0
J2218-0335,334.7168239,-3.593577644,0.901,FALSE,1967ApJ...147..837L,3,[HB89] 2216-038,334.71682,-3.59358,12.972,12.143,9.273,0
J0348-2749,57.15893572,-27.82043491,0.987,TRUE,1997MNRAS.284...85D,4,[HB89] 0346-279 ABS0,57.1584,-27.82022,,,,0
J0506-6109,76.68328644,-61.16138718,1.093,TRUE,2002ApJS..140..143B,4,[HB89] 0506-612,76.68329,-61.16139,13.691,12.57,9.878,0
J1740+2211,265.0244287,22.18360376,1.406,FALSE,2008ApJS..175...97H,3,WISEA J174005.84+221,265.02435,22.18358,14.443,13.329,10.382,0
J0403-3605,60.97395792,-36.08386476,1.423,TRUE,6dF:g0403538-360502,4,CRATES J0403-3605 NE,60.97313,-36.08389,,,,0
J1342-2051,205.5197481,-20.85820592,1.582,TRUE,2002A&A...386...97J,4,WISEA J134204.73-205,205.51975,-20.85821,14.862,13.441,10.134,0.06
J0406-3826,61.74598059,-38.44112285,1.285,FALSE,1994A&AS..105..211S,3,[HB89] 0405-385 ABS0,61.74598,-38.44112,,,,0
J1537+2300,234.3104203,23.01125311,0.462311,TRUE,SDSS,4,WISEA J153714.49+230,234.31042,23.01125,13.974,12.974,10.377,0
J0407-1211,61.95179575,-12.19351651,0.573,TRUE,2002ApJS..140..143B,4,[HB89] 0405-123 ABS0,61.95175,-12.19331,,,,0
J2000-1325,300.1756046,-13.42598137,0.222,FALSE,2008ApJS..175...97H,3,WISEA J200042.14-132,300.1756,-13.42598,12.287,11.315,8.536,0.06
J0808+0514,122.1618658,5.2444281,0.359824,TRUE,SDSS,4,WISEA J080838.84+051,122.16187,5.24443,13.646,12.726,10.252,0.06
J0326-3243,51.56269114,-32.72361834,0.699,FALSE,2008ApJS..175...97H,3,WISEA J032615.04-324,51.56268,-32.72363,13.916,12.828,10.162,0.06
J0423-0120,65.81583633,-1.342518194,0.914,TRUE,DESI,4,[HB89] 0420-014 ABS0,65.81583,-1.34245,,,,0
J0426+0518,66.65251708,5.305520111,1.333,TRUE,1997MNRAS.284...85D,4,CRATES J0426+0518 NE,66.65208,5.30619,,,,0
J0427-0700,66.85899688,-7.008684417,,FALSE,,0,LQAC 066-007 002,66.859,-7.00868,,,,0
J1321+2216,200.2966773,22.27003009,0.946,TRUE,SDSS,4,WISEA J132111.20+221,200.29668,22.27003,13.775,12.59,9.188,0
J0431+2037,67.7656724,20.62618469,0.219,TRUE,1990PKS...C......0W,4,SSTSL2 J043103.75+20,67.76564,20.62617,,,,0
J1028-0236,157.141843,-2.616590942,0.476,TRUE,2001MNRAS.323..757L,4,WISEA J102834.04-023,157.14183,-2.61658,11.225,10.194,6.962,0.06
J0136-4044,24.01190232,-40.74730528,0.649,TRUE,1998AJ....115.1253P,4,WISEA J013602.86-404,24.01187,-40.74719,13.874,12.848,9.556,0.42
J1206-6138,181.7145667,-61.6491,,FALSE,,0,WISEA J120651.36-613,181.71454,-61.64911,14.291,13.264,10.553,0.06
J0439+3045,69.82406042,30.7520979,,FALSE,,0,LQAC 069+030 002,69.82406,30.7521,,,,0
J1028+0255,157.0850054,2.9229088,0.711,TRUE,DESI,4,WISEA J102820.38+025,157.085,2.92291,14.923,14.386,12.451,0.06
J2000-1748,300.2378768,-17.81602017,0.652,TRUE,1997MNRAS.284...85D,4,[HB89] 1958-179,300.23788,-17.81602,13.212,12.07,8.412,0.06
J0811-4929,122.7866805,-49.49541904,,FALSE,,0,PKS 0809-492,122.78668,-49.49542,14.535,13.544,10.312,0.06
J2222+1213,335.7207875,12.2305024,1.959,TRUE,DESI,4,WISEA J222253.00+121,335.72079,12.2305,14.771,13.649,10.483,0.06
J1342-2900,205.5639401,-29.01161984,1.442,TRUE,2002A&A...386...97J,4,WISEA J134215.34-290,205.56394,-29.01162,14.518,13.41,10.86,0.06
J0510-3142,77.69308715,-31.71498075,0.12207,TRUE,This work,4,WISEA J051046.33-314,77.69309,-31.71498,12.661,11.767,8.774,0
J0453-2807,73.3110283,-28.12703514,2.559,FALSE,1986MNRAS.218..331W,3,[HB89] 0451-282 ABS0,73.31087,-28.12719,,,,0
J0510+1800,77.50987137,18.01155046,0.416,TRUE,1998AJ....115.1253P,3,PKS 0507+17,77.50987,18.01155,12.275,11.159,7.93,0.06
J1342-3240,205.5258416,-32.67989984,0.791,FALSE,2008ApJS..175...97H,3,PKS 1339-324,205.52588,-32.67992,15.472,14.61,11.844,0.12
J0459+3106,74.88764054,31.10952451,,FALSE,,0,2MASS J04593303+3106,74.88764,31.10952,,,,0.06
J1543-0757,235.7570291,-7.951844228,0.172,TRUE,2000A&AS..143..181D,4,WISEA J154301.66-075,235.75695,-7.95183,13.674,13.283,10.737,0
J0501-0159,75.303333,-1.987278,2.286,FALSE,1974ApJ...190..509S,3,[WMF2001] N-06-1D,75.30267,-1.98742,,,,
J0137-2430,24.40977688,-24.51496817,0.838,TRUE,6dF:g0137383-243053,4,[HB89] 0135-247,24.40978,-24.51497,12.92,11.744,8.65,0
J1743-0350,265.9952339,-3.834615756,1.054,FALSE,1988ApJ...327..561W,3,[HB89] 1741-038,265.99523,-3.83462,13.157,11.838,8.989,0.06
J1206+0529,181.7417777,5.497846117,,TRUE,SDSS,7,WISEA J120658.04+052,181.74178,5.49785,15.166,14.299,11.792,0
J2004-6347,301.1228244,-63.78980799,2.183,TRUE,2011MNRAS.417.2651M,4,WISEA J200429.46-634,301.12317,-63.78975,15.593,14.451,11.335,0.54
J0815+3635,123.8581036,36.58754132,1.03031,TRUE,SDSS,4,[HB89] 0812+367,123.8581,36.58754,14.315,13.091,10.023,0
J0327-2202,51.99968346,-22.03510988,2.22,TRUE,1983PASAu...5....2W,4,WISEA J032759.91-220,51.99967,-22.03508,15.811,14.907,11.622,0
J0010+1058,2.629191279,10.97486232,0.089425,TRUE,1991RC3.9.C...0000d,4,MRK 1501,2.62919,10.97486,10.343,9.421,6.891,0.06
J0513-2159,78.45464301,-21.98780334,,TRUE,1997MNRAS.284...85D,1,PKS 0511-220,78.45464,-21.9878,,,,0
J1743-1658,265.7759097,-16.9711021,,FALSE,,0,WISEA J174306.25-165,265.77637,-16.97128,13.467,12.844,10.413,1.68
J0518-6935,79.63577771,-69.58926678,,FALSE,,0,2XMM J051832.4-69352,79.635,-69.58942,,,,0.96
J0518+3306,79.52142699,33.10371253,,FALSE,,0,B2 0514+33,79.52143,33.10371,,,,0.06
J0519-4546,79.95717985,-45.77884811,0.035,TRUE,1989ESOLV.C...0000L,4,CXOGSG J051949.6-454,79.95667,-45.77889,,,,0.12
J1136+3407,174.113933,34.12763438,1.335,TRUE,SDSS,4,WISEA J113627.33+340,174.11393,34.12763,16.168,14.937,11.95,0
J1342+2709,205.5349028,27.15850479,1.18894,TRUE,SDSS,4,WISEA J134208.37+270,205.53485,27.15866,14.146,12.954,10.055,0
J1545+2006,236.3930963,20.11124185,2.13247,TRUE,SDSS,4,WISEA J154534.34+200,236.3931,20.11124,16.133,15.001,11.506,0
J0509+0541,77.35818529,5.693148194,0.3365,TRUE,2020ApJS..250...37L,4,WISEA J050925.96+054,77.35819,5.69315,10.616,9.731,7.308,0.06
J0527-1002,81.85025292,-10.04924207,,FALSE,,0,LQAC 081-010 001,81.85025,-10.04924,,,,0.06
J0137+3309,24.422081,33.15975917,0.369,TRUE,2016AJ....152...25M,4,3C 048,24.42208,33.15976,11.061,10.003,7.08,0.06
J1208-7809,182.0764826,-78.16350827,,FALSE,,0,PKS 1205-778,182.07583,-78.16336,14.074,13.037,10.931,0.72
J0529-2515,82.48778067,-25.26636994,,FALSE,,0,GALEXASC J052957.06-,82.48778,-25.26648,,,,0.18
J1036-3744,159.222665,-37.73751829,1.821,FALSE,1984ApJ...286..498J,3,[HB89] 1034-374,159.22267,-37.73752,14.6,13.401,10.078,0.06
J2005-1822,301.3220548,-18.36758943,0.868,FALSE,1978MNRAS.185..149H,3,WISEA J200517.27-182,301.32204,-18.36758,13.822,12.698,9.777,0.06
J0530+1331,82.73506979,13.53198598,2.07,TRUE,1993ApJ...409..134H,4,PKS 0528+134 ABS01,82.73506,13.53196,,,,0.06
J0816-2421,124.1683849,-24.35182529,,FALSE,,0,WISEA J081640.41-242,124.16838,-24.35183,14.027,12.864,9.547,0.06
J0532-0307,83.03133049,-3.118621403,1.8744,TRUE,2013AJ....146...10T,3,CRATES J0532-0307 NE,83.03125,-3.11847,,,,0.06
J0327+0044,51.9967314,0.739646175,1.35695,TRUE,SDSS,4,WISEA J032759.21+004,51.99673,0.73965,14.802,13.571,10.698,0
J0010+1724,2.641627617,17.40521147,1.601,FALSE,1976ApJS...31..143W,3,[HB89] 0007+171,2.64163,17.40521,13.358,12.318,9.884,0.06
J0532+0732,83.16249359,7.545373722,1.254,FALSE,2005ApJ...626...95S,3,2CXO J053238.8+07324,83.16191,7.54489,,,,0
J0511-6806,77.87323261,-68.10482612,0.00085,TRUE,This work,6,WISEA J051129.45-680,77.87317,-68.10478,14.023,13.55,10.762,0.18
J0539-2839,84.97617282,-28.66554112,3.109,TRUE,2019MNRAS.482.3162A,4,[HB89] 0537-286 ABS0,84.97599,-28.6656,,,,0
J1743-3058,265.8245282,-30.97184714,,FALSE,,0,WISEA J174317.97-305,265.8245,-30.972,9.898,9.882,8.383,0.6
J0541-0541,85.40868068,-5.697063444,0.839,TRUE,1993A&AS..101..521S,4,CRATES J0541-0541 NE,85.40867,-5.69706,,,,0.06
J1546+0026,236.5397144,0.440170506,0.558094,TRUE,SDSS,4,PKS 1543+005,236.53971,0.44017,14.809,14.16,11.459,0
J0138-0540,24.71604692,-5.66895625,2.004,TRUE,2002A&A...386...97J,4,PKS 0136-058,24.71605,-5.66896,16.088,15.088,11.859,0
J0552+0313,88.20875607,3.224234583,,FALSE,,0,PKS 0550+032,88.20876,3.22423,,,,0.06
J1209-2406,182.260188,-24.10576637,1.299,TRUE,2002A&A...386...97J,4,WISEA J120902.44-240,182.26019,-24.10577,14.411,13.2,10.322,0.06
J0321-3122,50.36975153,-31.38231532,1.7845,TRUE,2013AJ....146...10T,4,PKS 0319-315,50.36975,-31.38232,15.629,14.512,11.046,0
J0552+3754,88.07473715,37.9070229,0.815,FALSE,2005ApJ...626...95S,3,B2 0548+37B,88.07474,37.90702,,,,0.06
J1037-2934,159.3169989,-29.56744818,0.312,TRUE,1989A&AS...80..103S,4,[HB89] 1034-293,159.317,-29.56745,12.16,11.049,8.171,0.06
J2007+4029,301.9372702,40.49683449,1.736,TRUE,1976MNRAS.177P..43B,3,[HB89] 2005+403,301.93727,40.49683,13.766,12.563,9.517,0.06
J0603+1742,90.78804279,17.70466961,1.738,TRUE,2005ApJ...626...95S,3,LQAC 090+017 002,90.78804,17.70467,,,,0.06
J2225-0457,336.4469137,-4.950386317,,FALSE,,0,WISEA J222547.25-045,336.44689,-4.95038,12.824,11.629,8.15,0
J0512+2927,78.17585772,29.45100285,,FALSE,,0,B2 0509+29,78.17586,29.451,11.936,11.024,8.981,0.06
J1349-3056,207.3349939,-30.94005451,,FALSE,,0,WISEA J134920.34-305,207.33537,-30.93986,15.088,14.445,11.714,1.32
J0612-3138,93.12360135,-31.64949881,0.873,TRUE,2002A&A...386...97J,4,CRATES J061229.61-31,93.12337,-31.64892,,,,0
J1549+0237,237.3726535,2.616989794,0.41421,TRUE,SDSS,4,[HB89] 1546+027,237.37265,2.61699,12.299,11.191,8.5,0
J0139+1753,24.92491328,17.88543057,2.7199,TRUE,SDSS,4,[HB89] 0136+176,24.92491,17.88543,15.295,14.333,11.663,0
J1214-1921,183.5141404,-19.36188092,,FALSE,,0,[HB89] 1211-190,183.51411,-19.36186,12.35,11.409,8.639,0.18
J0325+2224,51.40339315,22.40010157,2.066,TRUE,2003AJ....125..572H,4,WISEA J032536.80+222,51.40339,22.4001,13.97,12.753,9.194,0.06
J0625+1440,96.44134232,14.67215291,,FALSE,,0,4C +14.18,96.44134,14.67215,,,,0.06
J0631+2020,97.7544273,20.3497807,,FALSE,,0,2MASS J06310106+2020,97.75443,20.34978,,,,0.06
J2009-4849,302.3557947,-48.83158933,0.071,TRUE,1987ApJ...318L..39F,3,[HB89] 2005-489,302.35579,-48.83159,10.167,9.43,7.257,0
J0632-2614,98.02709083,-26.23723212,0.717,TRUE,2002A&A...386...97J,4,PKS 0630-262,98.02709,-26.23723,,,,0
J0635-7516,98.94378285,-75.27133762,0.653,FALSE,1978MNRAS.185..149H,3,[HB89] 0637-752 ABS0,98.94346,-75.27141,,,,0
J0823+2223,125.8531633,22.38424692,0.951,TRUE,SDSS,4,4C +22.21,125.85316,22.38425,12.871,11.825,9.08,0
J0334-4008,53.55689371,-40.14038831,,TRUE,2009MNRAS.399..683J,7,[HB89] 0332-403,53.55689,-40.14039,11.841,10.774,7.827,0
J0643+0857,100.8601876,8.960558953,0.882,FALSE,2011ApJ...743..171A,3,WISE J064326.44+0857,100.86019,8.96056,,,,0.06
